id,brand,custom_label_0,custom_label_1,product_type
71401095210,ACLIMA,outlet,lightwool,ACLIMA > lightwool
1100108120,POC,regular,procen,POC > procen
1401016630,ACLIMA,regular,lightwool,ACLIMA > lightwool
71201892250,NORRONA,outlet,falketind,NORRONA > falketind
1100120110,POC,regular,elicit,POC > elicit
1104006900,POC,regular,pocito,POC > pocito
1030036900,HESTRA,regular,xc,HESTRA > xc
71202634240,NORRONA,outlet,femund,NORRONA > femund
1523116070,SAIL RACING,regular,spray,SAIL RACING > spray
71308600270,HOUDINI,outlet,go,HOUDINI > go
71000204600,HESTRA,outlet,joar,HESTRA > joar
1000364210,HESTRA,regular,baby,HESTRA > baby
71000206600,HESTRA,outlet,atle,HESTRA > atle
71401095220,ACLIMA,outlet,lightwool,ACLIMA > lightwool
71000303100,HESTRA,outlet,army,HESTRA > army
71302259842,HOUDINI,outlet,power,HOUDINI > power
71000304310,HESTRA,outlet,omni,HESTRA > omni
71000309309,HESTRA,outlet,sarek,HESTRA > sarek
71000309400,HESTRA,outlet,narvik,HESTRA > narvik
1000369210,HESTRA,regular,my,HESTRA > my
1030036910,HESTRA,regular,xc,HESTRA > xc
71201950250,NORRONA,outlet,falketind,NORRONA > falketind
71105290700,POC,outlet,recycle,POC > recycle
71202003230,NORRONA,outlet,lyngen,NORRONA > lyngen
1308300650,HOUDINI,regular,lykan,HOUDINI > lykan
71205830250,NORRONA,outlet,senja,NORRONA > senja
71401095230,ACLIMA,outlet,lightwool,ACLIMA > lightwool
71202642240,NORRONA,outlet,femund,NORRONA > femund
1100200131,POC,regular,elicit,POC > elicit
71401099150,ACLIMA,outlet,warmwool,ACLIMA > warmwool
1401016880,ACLIMA,regular,designwool,ACLIMA > designwool
1203448240,NORRONA,regular,cotton,NORRONA > cotton
71000313600,HESTRA,outlet,alpine,HESTRA > alpine
1000605910,HESTRA,regular,nordic,HESTRA > nordic
71000315209,HESTRA,outlet,voss,HESTRA > voss
1100200970,POC,regular,dimension,POC > dimension
1401016890,ACLIMA,regular,designwool,ACLIMA > designwool
71202011220,NORRONA,outlet,lyngen,NORRONA > lyngen
71308600280,HOUDINI,outlet,go,HOUDINI > go
71000329500,HESTRA,outlet,ergo,HESTRA > ergo
1100201210,POC,regular,aspire,POC > aspire
71000331500,HESTRA,outlet,oden,HESTRA > oden
1000636600,HESTRA,regular,basic,HESTRA > basic
1000636610,HESTRA,regular,basic,HESTRA > basic
1030036920,HESTRA,regular,xc,HESTRA > xc
71202014240,NORRONA,outlet,more,NORRONA > more
71401016320,ACLIMA,outlet,woolnet,ACLIMA > woolnet
1401016900,ACLIMA,regular,designwool,ACLIMA > designwool
71201615240,NORRONA,regular,trollveggen,NORRONA > trollveggen
1203449240,NORRONA,regular,cotton,NORRONA > cotton
71302268840,HOUDINI,outlet,long,HOUDINI > long
71401084620,ACLIMA,outlet,woolterry,ACLIMA > woolterry
